,DRUG_DATASET,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_MEASUREMENTS,PVAL,SPEARMANR
30,GDSC2,1932,NVP-ADW742,IGF1R,426,1.6983517933718382e-08,0.26900651740724
31,GDSC1,1008,Methotrexate,DHFR,510,7.344875421535314e-10,0.2683430268519928
32,GDSC1,1016,Temsirolimus,MTOR,499,2.3844322737211946e-09,0.263153294540889
33,GDSC2,1011,Navitoclax,BCL2L1,424,4.006001387052957e-08,0.2627236876284034
34,GDSC2,1916,AZD5363,AKT1,426,3.800044094697911e-08,0.2625534499184111
35,GDSC2,1010,Gefitinib,EGFR,426,5.226959337258739e-08,0.2599505228089851
36,GDSC1,1053,MK-2206,AKT1,487,1.3799748490849118e-08,0.25363187703276174
37,GDSC2,1919,Osimertinib,EGFR,426,1.190589558737966e-07,0.2530954288896348
38,GDSC2,1048,Mirin,MRE11,410,8.337987814751782e-07,0.24049495223415818
39,GDSC1,1059,AZD8055,MTOR,505,5.6287004037758486e-08,0.23873033266059532
40,GDSC1,1248,Daporinad,NAMPT,469,3.8804985076475584e-07,0.23174994794556564
41,GDSC1,180,Thapsigargin,ATP2A2,467,6.183673608064631e-07,0.2282556981300675
42,GDSC2,1058,Pictilisib,PIK3CA,431,1.8616438367956673e-06,0.22730819499151664
43,GDSC1,1011,Navitoclax,BCL2,509,2.2333258457428387e-07,0.22709815265926617
44,GDSC1,1058,Pictilisib,PIK3CA,503,5.765999434363948e-07,0.22068490215979783
45,GDSC2,1549,Sapitinib,ERBB3,441,3.3145339062693867e-06,0.21936257020290637
46,GDSC2,1908,Ulixertinib,MAPK1,426,5.163662350922774e-06,0.21879853857959716
47,GDSC2,1237,EPZ004777,DOT1L,441,3.6495519656278406e-06,0.21844681928715545
48,GDSC1,446,MIM1,MCL1,488,1.2577191040058584e-06,0.21731281032893657
49,GDSC2,1032,Afatinib,EGFR,443,5.009082335275238e-06,0.2149292280748927
50,GDSC2,1786,AZD4547,FGFR1,429,8.815576942591998e-06,0.2127351457497078
51,GDSC2,1928,I-BRD9,BRD9,426,1.2696326514140688e-05,0.2097571349019867
52,GDSC2,1053,MK-2206,AKT2,432,1.1816159658469617e-05,0.2090509863319217
53,GDSC1,428,Pemetrexed,TYMS,491,3.213120505078555e-06,0.20837402766978333
54,GDSC2,1032,Afatinib,ERBB2,443,1.0532739343271288e-05,0.2076333966521193
55,GDSC2,1012,Vorinostat,HDAC2,428,1.4991580564530913e-05,0.2075649186113412
56,GDSC2,1054,Palbociclib,CDK6,431,1.4976221394389955e-05,0.20686343279555386
57,GDSC1,1053,MK-2206,AKT2,487,5.080671877522586e-06,0.2050251542385248
58,GDSC2,1910,ABT737,BCL2,425,2.5317212495909976e-05,0.20278047865439028
59,GDSC1,1039,SL0101,AURKB,502,5.178024610749203e-06,0.20181504194766037
60,GDSC2,1080,Paclitaxel,BCL2,427,2.8283873799758465e-05,0.20113171753055487
61,GDSC1,282,Pelitinib,EGFR,497,7.224524201820459e-06,0.19973914610867693
62,GDSC1,1042,Doramapimod,MAPK14,501,6.740796061055962e-06,0.1995931006512871
63,GDSC2,1373,Dabrafenib,BRAF,427,3.78823138401336e-05,0.19798552306638975
64,GDSC1,1037,BX795,AURKB,511,6.8668656410996674e-06,0.19749050305053523
65,GDSC2,1627,GSK343,EZH2,411,5.6107985229676905e-05,0.1973597833207444
66,GDSC1,252,WZ3105,ROCK2,498,1.0125865964751098e-05,0.19638107758995726
67,GDSC2,1910,ABT737,BCL2L1,425,6.710400593067643e-05,0.192126744931297
68,GDSC1,1050,ZM447439,AURKB,511,1.6588014102589604e-05,0.1892463235294117
69,GDSC2,1563,EPZ5676,DOT1L,441,6.974585171566733e-05,0.18822689915126892
70,GDSC2,1996,MIM1,MCL1,426,0.00010234556672402124,0.18711187083930778
71,GDSC1,326,GSK690693,AKT1,497,2.792437090528627e-05,0.18675099567478717
72,GDSC2,1068,Obatoclax Mesylate,MCL1,410,0.00016275165510831334,0.18517685353535132
73,GDSC1,345,KIN001-270,CDK9,498,3.3326628882532203e-05,0.18480202994046568
74,GDSC1,1091,BMS-536924,INSR,493,3.934484989831301e-05,0.1840464838938984
75,GDSC2,1912,Afuresertib,AKT2,426,0.000134152860124301,0.18397590945868075
76,GDSC2,1916,AZD5363,ROCK2,426,0.00014367268231980443,0.18317325360067835
77,GDSC2,1179,MK-1775,WEE1,431,0.0001843830331422301,0.1791860764881862
78,GDSC2,2096,VX-11e,MAPK1,422,0.00022525530719611883,0.17865440719332296
79,GDSC1,206,Ruxolitinib,JAK1,500,6.097631883988184e-05,0.17829565718262871
80,GDSC1,228,AKT inhibitor VIII,AKT2,497,7.208882567786799e-05,0.1770835858524642
81,GDSC1,381,AST-1306,EGFR,490,8.140707967774476e-05,0.17704508114892403
82,GDSC1,166,FTI-277,FNTA,480,0.00010496997651197706,0.17611599876735573
83,GDSC1,262,VX-11e,MAPK1,498,9.034860099891934e-05,0.17453223578863625
84,GDSC1,230,GSK429286A,ROCK2,498,9.538959470860437e-05,0.17395635857300404
85,GDSC1,438,Panobinostat,HDAC2,490,0.00011393404348990868,0.17344391356932615
86,GDSC1,362,CI-1033,ERBB2,496,0.00011676336040027231,0.17213820557755133
87,GDSC1,1373,Dabrafenib,BRAF,457,0.00022145487772377948,0.17194291711908077
88,GDSC2,1049,PD173074,FGFR1,428,0.00041119761152124816,0.1700162867621118
89,GDSC2,1060,PD0325901,MAP2K1,443,0.0003654714109575182,0.16858592246986887
90,GDSC1,309,Y-39983,ROCK1,498,0.00018337581813137886,0.16687541041696494
91,GDSC2,1916,AZD5363,AKT2,426,0.0005470330880397983,0.1667884258298101
92,GDSC1,1048,Mirin,MRE11,457,0.0003614563375099268,0.16613889912880012
93,GDSC1,326,GSK690693,AKT2,497,0.0002080164138875464,0.16564124349673637
94,GDSC1,474,ARRY-520,KIF11,488,0.00028306254822090855,0.16364767883300319
95,GDSC2,1558,Lapatinib,EGFR,427,0.0007439753564021219,0.1626121059126322
96,GDSC2,1939,UMI-77,MCL1,426,0.0008868333297192689,0.1604828197730258
97,GDSC1,156,AZD6482,PIK3CB,479,0.00043400565600830253,0.16014371380403736
98,GDSC1,437,Trichostatin A,HDAC2,491,0.0004101594282251026,0.1588539961213237
99,GDSC1,1061,SB590885,BRAF,491,0.00043237188215572886,0.15823407699973338
100,GDSC1,238,Idelalisib,PIK3CD,499,0.00041796287904094005,0.15736562281188882
101,GDSC1,171,AKT inhibitor VIII,AKT1,478,0.0005622330553708827,0.15719281972526927
102,GDSC2,1553,Uprosertib,AKT2,412,0.001430042798303183,0.15659258494094644
103,GDSC1,1067,CCT007093,PPM1D,505,0.0004501480436698176,0.15557301071722082
104,GDSC2,1849,Sabutoclax,BCL2,410,0.0016357215455586507,0.15507229407061085
105,GDSC1,363,PF-00299804,ERBB2,495,0.0005371123668489828,0.15503450991566442
106,GDSC2,1510,Linsitinib,INSR,441,0.0011932282116049494,0.15382642567516516
107,GDSC1,171,AKT inhibitor VIII,AKT2,478,0.0007432012783106857,0.153767242362977
108,GDSC1,344,THZ-2-49,CDK9,492,0.0006600706483611085,0.1530225501665914
109,GDSC2,1057,Dactolisib,MTOR,426,0.001593113827882719,0.15251741888166026
110,GDSC1,1011,Navitoclax,BCL2L1,509,0.0006774672669744129,0.15015192036624686
111,GDSC2,1372,Trametinib,MAP2K1,432,0.0017630379266222879,0.15005355419452293
112,GDSC1,199,Pazopanib,PDGFRB,473,0.0011669099823210579,0.14885154262371447
113,GDSC2,1559,Luminespib,HSP90AB1,442,0.0017184264107189349,0.14870883237823693
114,GDSC1,165,DMOG,EGLN1,478,0.001198372801729602,0.14773366858437245
115,GDSC2,1922,Cediranib,PDGFRB,426,0.0022566157562037173,0.14759888162145487
116,GDSC2,1918,AZD8186,PIK3CB,426,0.002600793309593548,0.14555087516419637
117,GDSC2,1011,Navitoclax,BCL2,424,0.002991075447103918,0.14384474303571287
118,GDSC1,133,Doxorubicin,TOP2A,475,0.0017171375366377244,0.1434876468908683
119,GDSC1,228,AKT inhibitor VIII,AKT1,497,0.0013706383618434538,0.14319388933679808
120,GDSC2,1036,PLX-4720,BRAF,440,0.0026191986991147224,0.1431267723490307
121,GDSC1,223,ZSTK474,PIK3CA,498,0.0015851885147530336,0.14118625362528409
122,GDSC1,1266,ICL1100013,NMT1,488,0.001922684883314682,0.1400836926538766
123,GDSC2,1557,LCL161,BIRC2,410,0.0045119020236789355,0.13999180796333865
124,GDSC2,1613,VE-822,ATR,411,0.004482543076659378,0.1399235331025268
125,GDSC1,185,Linsitinib,INSR,474,0.002335395149462127,0.1394947131792336
126,GDSC2,1079,Dasatinib,PDGFRA,429,0.0038685899886396597,0.1391935167636102
127,GDSC2,1180,Dinaciclib,CDK9,411,0.0048990639261227865,0.13853661993497546
128,GDSC1,341,Selisistat,SIRT1,496,0.002011758022739121,0.13835889235707502
129,GDSC1,271,VNLG/124,HDAC10,494,0.0021682201459428943,0.13764490375998864
130,GDSC1,1054,Palbociclib,CDK4,488,0.0023350674865617906,0.13749005883845933
131,GDSC1,155,Ponatinib,FGFR1,480,0.0025552294530113238,0.1373985998203117
132,GDSC2,1917,AZD6738,ATR,426,0.004856400772474777,0.13621905007673815
133,GDSC2,2045,AMG-319,PIK3CD,425,0.00524715458343592,0.1351815666473871
134,GDSC1,1012,Vorinostat,HDAC10,510,0.002662899470187963,0.13276415337779757
135,GDSC1,1264,SGC0946,DOT1L,482,0.00357488924478284,0.13246154306951713
136,GDSC1,283,Omipalisib,PIK3CD,498,0.0031058950774110663,0.13225874793877593
137,GDSC2,1012,Vorinostat,HDAC1,428,0.006831139932432448,0.1305711294986613
138,GDSC1,1049,PD173074,FGFR1,510,0.003361202105212835,0.1296281529001514
139,GDSC1,362,CI-1033,EGFR,496,0.003863620373347941,0.12950390515133814
140,GDSC1,163,JQ1,BRD2,481,0.00471596856507844,0.1286452627220262
141,GDSC1,1066,AZD6482,PIK3CB,493,0.004388163323722503,0.1281006070771386
142,GDSC1,328,SNX-2112,HSP90AB1,493,0.005017216237487497,0.12618737970973504
143,GDSC2,1558,Lapatinib,ERBB2,427,0.009447241706429976,0.12547276920293013
144,GDSC2,1873,Buparlisib,PIK3CA,426,0.009757635076404146,0.12508524628969575
145,GDSC1,283,Omipalisib,PIK3CA,498,0.005267481556377868,0.12485619465640937
146,GDSC2,1250,AZ960,JAK2,410,0.012054041382495802,0.12388788314203346
147,GDSC2,1810,Mitoxantrone,TOP2A,411,0.01239344388123011,0.12325706808907079
148,GDSC2,1511,Epirubicin,TOP2A,426,0.011082129803320937,0.12296211211337456
149,GDSC2,1012,Vorinostat,HDAC10,428,0.010964228095225638,0.12285416437400504
150,GDSC1,1259,Talazoparib,PARP1,487,0.006713313485946663,0.12268630206041142
151,GDSC1,1057,Dactolisib,PIK3CD,504,0.006631054884057264,0.12078486178637747
152,GDSC1,1241,CHIR-99021,GSK3B,484,0.008117500936825426,0.12019895674188488
153,GDSC1,273,CUDC-101,HDAC10,486,0.00826262677967717,0.11968207896854424
154,GDSC2,1507,Ruxolitinib,JAK1,410,0.016771893148403334,0.11806326672479153
155,GDSC1,438,Panobinostat,HDAC10,490,0.009118563940250056,0.1176892593029865
156,GDSC2,1626,OTX015,BRD2,411,0.01717835761971604,0.11748869157602355
157,GDSC1,134,Etoposide,TOP2A,479,0.010781463253525263,0.11640676182073884
158,GDSC1,253,XMD14-99,CDK7,498,0.009470814546927619,0.11616372304862813
159,GDSC1,223,ZSTK474,PIK3CD,498,0.009726733156392981,0.11575554687470017
160,GDSC1,1129,PF-4708671,RPS6KB1,503,0.010321935593754751,0.11427064627978666
161,GDSC1,317,WYE-125132,MTOR,495,0.01113129173751214,0.11401529992361911
162,GDSC2,2040,Foretinib,TEK,425,0.01962111941927099,0.11316158884494537
163,GDSC2,2040,Foretinib,MET,425,0.019823218022658497,0.11297666129965142
164,GDSC1,230,GSK429286A,ROCK1,498,0.012124266344643343,0.11233516462028807
165,GDSC1,1372,Trametinib,MAP2K1,475,0.014538740527910425,0.11206512185153877
166,GDSC1,184,BMS-754807,INSR,470,0.01628502018911614,0.11077115920792917
167,GDSC2,1930,Telomerase Inhibitor IX,TERT,426,0.023157348906036327,0.11001111781586337
168,GDSC1,225,Genentech Cpd 10,AURKA,496,0.014862190704772493,0.10931493162297343
169,GDSC1,245,UNC0638,EHMT1,495,0.015509470146379921,0.10873472876868463
170,GDSC1,236,IC-87114,PIK3CD,495,0.015932979830011976,0.10829652803337014
171,GDSC1,249,Cabozantinib,AXL,497,0.016949221967438154,0.10706934963844475
172,GDSC1,269,NSC-207895,MDM4,495,0.017186090009843565,0.1070572183899858
173,GDSC2,2040,Foretinib,FGFR1,425,0.027780410577580232,0.10674305544699943
174,GDSC1,1192,GSK269962A,ROCK2,495,0.01774630774831892,0.10652858742841764
175,GDSC1,1058,Pictilisib,PIK3CD,503,0.016915957957454538,0.1064613080386963
176,GDSC1,204,Tipifarnib,FNTA,477,0.020073353563805563,0.1064299723204984
177,GDSC1,346,THZ-2-102-1,CDK7,491,0.018418548822628642,0.10634345039988077
178,GDSC1,275,I-BET-762,BRD4,495,0.01807795428975018,0.10622247285664718
179,GDSC1,1014,Refametinib,MAP2K1,500,0.01824094659625761,0.10554243816975267
180,GDSC1,477,A-83-01,TGFB1,494,0.01985583366555089,0.10476629878786385
181,GDSC1,1175,Rucaparib,PARP1,507,0.018399663882251404,0.10466978837926617
182,GDSC1,301,PHA-793887,CDK5,498,0.019482505823482887,0.1046615302797785
183,GDSC1,301,PHA-793887,CDK7,498,0.019647279617396426,0.10452113166722772
184,GDSC1,288,WHI-P97,JAK3,498,0.021284971488473043,0.10317874604023687
185,GDSC1,308,Foretinib,MET,496,0.02277645468278904,0.10223757009309031
186,GDSC1,410,"MetAP2 Inhibitor, A832234",METAP2,489,0.025348620226169558,0.10111708165112573
187,GDSC1,1015,CI-1040,MAP2K1,502,0.02474570492554644,0.10021228641226099
188,GDSC1,249,Cabozantinib,MET,497,0.0258071441973514,0.0999899513677479
189,GDSC1,1133,Serdemetan,MDM2,506,0.024903582447219148,0.0997068628910743
190,GDSC1,225,Genentech Cpd 10,AURKB,496,0.0279736596608415,0.09868566236126436
191,GDSC1,432,Flavopiridol,CDK6,490,0.028953325076418852,0.09867965178649524
192,GDSC1,363,PF-00299804,EGFR,495,0.028412407812597136,0.09851195776492891
193,GDSC1,223,ZSTK474,PIK3CG,498,0.028023842492603313,0.09845591160503354
194,GDSC2,1079,Dasatinib,PDGFRB,429,0.04551442287779678,0.09661049665396547
195,GDSC1,342,Tenovin-6,SIRT1,498,0.033094437269402845,0.09551113572324159
196,GDSC2,1084,Rapamycin,MTOR,422,0.04994880605138274,0.09549594173205302
197,GDSC1,1039,SL0101,RPS6KA2,502,0.03314205158525522,0.09510401863457231
198,GDSC2,1617,AZD5582,BIRC2,406,0.056484503715487834,0.09473575680472233
199,GDSC2,2170,AT13148,AKT1,421,0.052472546293875405,0.0945818464274859
200,GDSC1,165,DMOG,EGLN2,478,0.038859214174933675,0.09451762037467532
201,GDSC2,1629,ML323,WDR48,411,0.06006964252301245,0.09282984559701737
202,GDSC1,1060,PD0325901,MAP2K1,500,0.040129112353906204,0.09182273529094116
203,GDSC1,1028,VX-702,MAPK14,508,0.03962400923908601,0.09132745190311063
204,GDSC1,276,CAY10603,HDAC1,492,0.04298995275730144,0.09128192086256924
205,GDSC1,1262,UNC1215,L3MBTL3,483,0.045497942382413684,0.09105094633115231
206,GDSC2,1068,Obatoclax Mesylate,BCL2,410,0.06960789845522652,0.08970262732805974
207,GDSC1,182,Obatoclax Mesylate,BCL2,473,0.054820600492437414,0.08835630822628325
208,GDSC1,308,Foretinib,MST1R,496,0.05056243990653994,0.08784181137656831
209,GDSC1,1219,PFI-1,BRD4,499,0.05094433763167218,0.08743308303353695
210,GDSC1,200,Dacinostat,HDAC1,476,0.056774509852851984,0.08738015961101421
211,GDSC1,447,ETP-45835,MKNK2,495,0.05243051710025052,0.08723202377701528
212,GDSC1,295,NVP-BHG712,EPHB4,498,0.05282027449262599,0.08682585618804595
213,GDSC1,1017,Olaparib,PARP1,510,0.05140400321589744,0.0863136954865376
214,GDSC1,205,Avagacestat,APP,498,0.05461101045704717,0.08618128565636003
215,GDSC2,1177,Niraparib,PARP1,410,0.08663642643105822,0.08472594329212793
216,GDSC2,1259,Talazoparib,PARP1,423,0.08180244967147192,0.08471587763341393
217,GDSC1,155,Ponatinib,TEK,480,0.0652592304247459,0.08421293061167799
218,GDSC2,1046,Wee1 Inhibitor,WEE1,426,0.08357469217707883,0.08393248594750763
219,GDSC1,382,Apitolisib,PIK3CD,491,0.0637941558756439,0.08371898757019075
220,GDSC1,193,GW-2580,CSF1R,498,0.06405450458341623,0.08304645945547977
221,GDSC2,1809,Teniposide,TOP2A,411,0.09561790211539214,0.08231253597349239
222,GDSC1,206,Ruxolitinib,JAK2,500,0.0688319053161694,0.08144010176040703
223,GDSC1,154,CHIR-99021,GSK3B,478,0.07670576590877383,0.08104275247344056
224,GDSC2,1593,Entinostat,HDAC1,413,0.1003975692846963,0.08095589009369408
225,GDSC2,1080,Paclitaxel,TUBB1,427,0.09541934179487077,0.08079979802208377
226,GDSC1,306,Fedratinib,JAK2,498,0.07352868820328379,0.08026326343020823
227,GDSC1,1194,SB505124,TGFBR1,495,0.07465536425981857,0.08019449424373025
228,GDSC2,1926,GNE-317,PIK3CA,413,0.10788480008151664,0.07922908594364049
229,GDSC2,1068,Obatoclax Mesylate,BCL2L2,410,0.10940198938919767,0.07917973424197326
230,GDSC1,1012,Vorinostat,HDAC2,510,0.07472732334874659,0.07898472142846966
231,GDSC1,438,Panobinostat,HDAC1,490,0.08110387724111062,0.07887884002950826
232,GDSC1,1192,GSK269962A,ROCK1,495,0.07964138761077513,0.07885782864560455
233,GDSC1,1024,Lestaurtinib,JAK2,508,0.0768326583169957,0.07857511812488199
234,GDSC1,303,PIK-93,PIK3CG,497,0.08139046084336317,0.07824678346018592
235,GDSC1,224,AS605240,PIK3CG,496,0.08236527641209777,0.07807706453776421
236,GDSC2,1621,PCI-34051,HDAC1,411,0.11516169564361953,0.07782840233618125
237,GDSC1,439,LCL161,BIRC2,492,0.08493853372225746,0.0777465410889304
238,GDSC1,1062,Selumetinib,MAP2K1,481,0.08927718839047256,0.07756295235548348
239,GDSC1,1046,Wee1 Inhibitor,WEE1,453,0.09966373280078739,0.07745641250189438
240,GDSC1,374,GSK1059615,PIK3CD,491,0.08659782934010797,0.07741598651283076
241,GDSC1,1530,PFI-3,SMARCA4,452,0.10592413126473792,0.07614769993501323
242,GDSC1,308,Foretinib,FGFR1,496,0.0921197617181026,0.07571066673747273
243,GDSC1,1042,Doramapimod,MAPK9,501,0.09417184828072005,0.07486146432235131
244,GDSC1,382,Apitolisib,MTOR,491,0.09833495803028855,0.07468408455230485
245,GDSC1,1021,Axitinib,PDGFRB,505,0.09803625013427379,0.07370451330847372
246,GDSC2,1624,I-BET-762,BRD4,411,0.13620256370947456,0.07362479712246629
247,GDSC2,1620,PFI3,SMARCA4,411,0.13695482433880146,0.07348410079664541
248,GDSC2,1593,Entinostat,HDAC3,413,0.136383390544254,0.07341191765714736
249,GDSC1,376,"Brivanib, BMS-540215",PDGFRB,497,0.1035328099458419,0.0731104465893691
250,GDSC1,286,KIN001-236,TEK,498,0.10610444585639,0.07249946306032345
251,GDSC2,1239,YK-4-279,DHX9,426,0.13633487225989063,0.07228831038303109
252,GDSC1,245,UNC0638,EHMT2,495,0.10880227445260335,0.07216490357407165
253,GDSC1,382,Apitolisib,PIK3CA,491,0.11204752039677164,0.07180356420547455
254,GDSC1,1036,PLX-4720,BRAF,511,0.10981933943506038,0.07082044290318866
255,GDSC2,1922,Cediranib,FGFR1,426,0.14485198472132124,0.07075766071840882
256,GDSC2,1507,Ruxolitinib,JAK2,410,0.1538763494305939,0.0705513693367976
257,GDSC1,275,I-BET-762,BRD2,495,0.11743658937640984,0.07046023618861919
258,GDSC2,1060,PD0325901,MAP2K2,443,0.1401858920953676,0.0701959275189922
259,GDSC2,2111,VE821,ATR,421,0.15116081241282478,0.07008155132458585
260,GDSC1,302,PI-103,DAPK3,491,0.12595217532706882,0.06915327056757828
261,GDSC1,157,JNK-9L,MAPK10,480,0.13173639601736256,0.0688959153468548
262,GDSC2,1618,GSK2606414,EIF2AK3,408,0.16891587744047032,0.06823703271279857
263,GDSC1,194,Luminespib,HSP90AB1,471,0.1406613778919092,0.06798966834420171
264,GDSC1,1030,KU-55933,ATM,510,0.12670970192889255,0.06771435220480529
265,GDSC1,219,AT-7519,CDK6,488,0.13686847573452846,0.06743468571679932
266,GDSC1,375,Voxtalisib,PIK3CD,498,0.13792778411999967,0.06657308702396673
267,GDSC1,366,TWS119,GSK3B,498,0.13943706601852185,0.06631959222801863
268,GDSC2,2040,Foretinib,PDGFRB,425,0.1748916214758838,0.06592987447437121
269,GDSC1,231,FMK,RPS6KA2,440,0.17229475480667708,0.06518370446128337
270,GDSC1,273,CUDC-101,ERBB2,486,0.15638724426525283,0.06439035124513931
271,GDSC1,374,GSK1059615,PIK3CA,491,0.1600463683720582,0.06350080442489449
272,GDSC1,182,Obatoclax Mesylate,MCL1,473,0.16890530795778308,0.0633601977272614
273,GDSC2,1057,Dactolisib,PIK3CD,426,0.19357467317667953,0.06311155263305969
274,GDSC1,1263,UNC0642,EHMT1,471,0.17216509825113185,0.06301368289764127
275,GDSC1,1015,CI-1040,MAP2K2,502,0.1604790299287839,0.06273426549513189
276,GDSC1,1012,Vorinostat,HDAC1,510,0.1587539673202337,0.062496067673779424
277,GDSC2,1786,AZD4547,FGFR3,429,0.19684428474747678,0.06243185199933733
278,GDSC1,1011,Navitoclax,BCL2L2,509,0.1657286864871641,0.061529067794065334
279,GDSC2,1849,Sabutoclax,BCL2A1,410,0.21379573359379858,0.061526722275592825
280,GDSC1,221,TAK-715,MAPK14,499,0.17699230042397043,0.060533983629910415
281,GDSC1,1052,RO-3306,CDK1,511,0.1725664923809694,0.06043279469321974
282,GDSC1,273,CUDC-101,HDAC2,486,0.18868075216389746,0.05972711917517409
283,GDSC1,437,Trichostatin A,HDAC1,491,0.1867651840123861,0.059679203259466816
284,GDSC1,356,AT7867,AKT1,498,0.18683027555533818,0.05924816591559887
285,GDSC1,157,JNK-9L,MAPK9,480,0.19562492067350432,0.059170612719673256
286,GDSC1,271,VNLG/124,HDAC1,494,0.19034848229727125,0.05901753490095542
287,GDSC1,272,AR-42,HDAC1,491,0.19287463065845065,0.058863018656372196
288,GDSC2,1054,Palbociclib,CDK4,431,0.22347463823311686,0.05875720186813911
289,GDSC1,208,Ispinesib Mesylate,CDH16,497,0.19316017758672693,0.0584679863088363
290,GDSC2,1079,Dasatinib,SRC,429,0.22948049109069996,0.058139078917170635
291,GDSC1,155,Ponatinib,KDR,480,0.20504716050721689,0.057946649073997714
292,GDSC1,1218,JQ1,BRD2,484,0.2052689374565901,0.057677663194960774
293,GDSC1,1069,EHT-1864,RAC2,507,0.19745819068025475,0.05733324690215113
294,GDSC1,1017,Olaparib,PARP2,510,0.19970460885244604,0.05687893048868497
295,GDSC2,2040,Foretinib,MST1R,425,0.24303478931598782,0.05675040252614466
296,GDSC1,274,Belinostat,HDAC1,481,0.2155790216706332,0.05656675667049111
297,GDSC1,1009,Tretinoin,RARA,506,0.2091201004471371,0.05593011577977968
298,GDSC1,271,VNLG/124,HDAC2,494,0.21536791247916315,0.055840483490745045
299,GDSC1,1242,(5Z)-7-Oxozeaenol,MAP3K7,485,0.2214467591082053,0.055620034564114545
300,GDSC1,1012,Vorinostat,HDAC9,510,0.2104600590691645,0.05554631573543377
301,GDSC2,1630,Entospletinib,SYK,411,0.2631317228777284,0.05532338549237664
302,GDSC2,1268,XAV939,TNKS,410,0.26619609655115906,0.05503751491390309
303,GDSC1,409,"eEF2K Inhibitor, A-484954",EEF2K,495,0.22697012701972272,0.05440189408780241
304,GDSC1,1029,Motesanib,PDGFRB,507,0.22636978963905924,0.05382136626705136
305,GDSC1,284,JNJ38877605,MET,497,0.24133323483080163,0.052652291518250585
306,GDSC2,1011,Navitoclax,BCL2L2,424,0.2881416510452458,0.051703465810250225
307,GDSC1,221,TAK-715,MAPK11,499,0.2566950906988887,0.05087012579375618
308,GDSC1,273,CUDC-101,HDAC3,486,0.2638877524062148,0.05077751460330825
309,GDSC1,273,CUDC-101,HDAC1,486,0.2648764420695822,0.050672662967588766
310,GDSC2,2046,MK-8776,CHEK1,424,0.2993681870799194,0.05051644744610007
311,GDSC1,255,CP724714,ERBB2,498,0.2666569853490128,0.04987021872889315
312,GDSC2,1091,BMS-536924,INSR,426,0.3069487209622184,0.049614174924183484
313,GDSC2,1177,Niraparib,PARP2,410,0.3203328089704637,0.04919949176291149
314,GDSC2,1624,I-BET-762,BRD2,411,0.3198608909672456,0.049187193523129336
