"Cell
Model Passports
Identifier",Name,"Cosmic
Identifier",Tissue,"Cancer
Type","Microsatellite (MS)
instability (I) Status
= (S)table, (L)ow instability, (H)igh Instability",Whole Exome Sequencing Profiles,Copy Number Alteration Profiles,Transcriptional Profiles,Methylation Profiles,Drug Response Profiles,Transduction Efficiencty,Cas9 Activity,N of Replicates,Experiment Identifier,sgRNA library,"Replicate
Passing
Low Lev QC","CellLine
Passing
LowLev
QC","Hart Ess/nonEss.
AUROC","Hart Ess/nonEss.
AUPRRC","Ribosomal
proteins
Glass's Δ","Hart Essential genes
Glass's Δ","Hart
Non Essential genes
Glass's Δ","Passing High Level Quality Control Assessment 
(Analysis Set)"
SIDM00077,BICR10,1290724,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"20.4, 19, 19","93.9, 93.9, 93.9",3,"BICR10_c908R1, BICR10_c908R2, BICR10_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.925929708,0.919479627,3.006476878,1.504322209,11.42669358,TRUE
SIDM00485,BICR22,1240121,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"32.2, 35.3, 24.8","93.7, 93.7, 93.7",3,"BICR22_c908R1, BICR22_c908R2, BICR22_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.915530294,0.899338813,3.189178789,1.582227013,6.516349517,TRUE
SIDM00501,BICR78,1240122,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"26.8, 28.1, 27.8","89.8, 89.8, 89.8",3,"BICR78_c907R1, BICR78_c907R2, BICR78_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, FALSE",TRUE,0.891728874,0.865421495,2.427594372,1.470443296,4.190637698,TRUE
SIDM01233,C2BBe1,910700,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"46.2, 45.7, 46.2","91.4, 91.4, 91.4",3,"C2BBe1_c903R1, C2BBe1_c903R2, C2BBe1_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.921677473,0.748185396,2.891344051,1.49322473,9.093178536,TRUE
SIDM00937,CAL-27,910916,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"29.6, 29.4, 28.6","97.5, 97.5, 97.5",3,"CAL27_c907R1, CAL27_c907R2, CAL27_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.928656245,0.919923632,3.479356932,1.725209466,9.124347377,TRUE
SIDM00942,CAL-33,753541,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"21.3, 21.3, 20.6","91.8, 91.8, 91.8",3,"CAL33_c907R1, CAL33_c907R2, CAL33_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, FALSE",TRUE,0.920839668,0.899251483,3.188887788,1.663187052,5.714594106,TRUE
SIDM00930,CAL-72,906827,Bone,Osteosarcoma,MSI-L,Y,Y,Y,Y,Y,"43.3, 38.7, 42.1","92.7, 92.7, 92.7",3,"CAL72_c908R1, CAL72_c908R2, CAL72_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, FALSE",TRUE,0.902548045,0.867366276,2.196263249,1.29986336,4.075850658,TRUE
SIDM00918,Caov-4,949090,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"26.6, 26, 20.9","88.3, 88.3, 88.3",3,"Caov4_c905R1, Caov4_c905R2, Caov4_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.90920367,0.891519048,2.841501794,1.405347756,6.943803948,TRUE
SIDM00934,CAPAN-1,753624,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"17.7, 17, 17.5","80.7, 80.7, 80.7",3,"CAPAN1_c904R1, CAPAN1_c904R2, CAPAN1_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.911212225,0.74002785,2.479968319,1.370833343,9.580166445,TRUE
SIDM00944,CL-11,1290769,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"23.2, 40.1, 22.5","80.2, 80.2, 80.2",3,"CL11_c903R1, CL11_c903R2, CL11_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.915466576,0.74035265,2.8238122,1.521840116,6.974864255,TRUE
SIDM00826,COLO-205,905961,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"19.4, 20.9, 20.6","91.4, 91.4, 91.4",3,"CO205_c903R1, CO205_c903R2, CO205_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.908326698,0.731988647,2.690296481,1.452124832,7.874320096,TRUE
SIDM00842,COLO-320-HSR,910569,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"19.4, 20.9, 20.6","92.3, 92.3, 92.3",3,"CO320H_c903R1, CO320H_c903R2, CO320H_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.928574679,0.743013897,2.857607022,1.561921006,8.228112404,TRUE
SIDM00957,COLO-678,910689,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"22.4, 20.3, 19.6","92.7, 92.7, 92.7",3,"CO678_c903R4, CO678_c903R5, CO678_c903R6","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.852705418,0.640268065,2.34569048,1.119322658,3.92714666,TRUE
SIDM00956,COLO-680N,906817,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"18.7, 16.9, 18","90.7, 90.7, 90.7",3,"CO680N_c907R1, CO680N_c907R2, CO680N_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.918219015,0.904734573,2.939191627,1.577847852,7.018858545,TRUE
SIDM00954,COLO-824,906812,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"38.5, 37.3, 36.4","81.4, 81.4, 81.4",3,"CO824_c903R1, CO824_c903R2, CO824_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.912057786,0.725279231,2.386913219,1.345100507,6.84693993,TRUE
SIDM00512,COR-L23,687780,Lung,Non-Small Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"19, 19.3, 19.4","94, 94, 94",3,"L23_c906R1, L23_c906R2, L23_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.925846512,0.914042932,3.028084222,1.573456979,9.43680813,TRUE
SIDM00950,DAN-G,1290797,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"23.3, 24.1, 24.5","96.8, 96.8, 96.8",3,"DANG_c904R1, DANG_c904R2, DANG_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.916566185,0.749160773,2.576915234,1.434349074,11.91871044,TRUE
SIDM00831,Detroit562,906837,Head and Neck,Head and Neck Carcinoma,MSI-S,Y,Y,Y,Y,Y,"44.4, 45.3, 44.3","98.1, 98.1, 98.1",3,"Detroi_c907R1, Detroi_c907R2, Detroi_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.92060899,0.906717439,2.956005325,1.525850107,7.652698226,TRUE
SIDM00049,DiFi,1789883,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"21.7, 21.6, 21.8","93.7, 93.7, 93.7",3,"DIFI_C902R1_P1D14, DIFI_C902R2_P1D14, DIFI_C902R3_P1D14","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.9119137,0.733650749,2.282955061,1.353304572,7.981080019,TRUE
SIDM00540,DOK,910936,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"46.2, 44.5, 43.5","85.4, 85.4, 85.4",3,"DOK_c908R1, DOK_c908R2, DOK_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.915700467,0.899867279,2.624988137,1.492363391,6.850738905,TRUE
SIDM00969,DOV13,1479987,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"27.3, 30.1, 29.4","87.9, 87.9, 87.9",3,"DOV13_c905R1, DOV13_c905R2, DOV13_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.915639961,0.906560674,3.183955469,1.534315022,9.169147748,TRUE
SIDM00120,DU-145,905935,Prostate,Prostate Carcinoma,MSI-H,Y,Y,Y,Y,Y,"32.7, 31.3, 32.7","90.2, 90.2, 90.2",3,"DU145_c908R1, DU145_c908R2, DU145_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.918634992,0.910165583,2.585553863,1.512616986,8.500430452,TRUE
SIDM00486,EBC-1,753554,Lung,Squamous Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"54.9, 53.3, 55.6","93.3, 93.3, 93.3",3,"EBC1_c906R1, EBC1_c906R2, EBC1_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.904752721,0.864875044,2.501442173,1.606175649,4.262719575,TRUE
SIDM00278,EC-GI-10,753555,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"17.2, 18.8, 18.3","94.8, 94.8, 94.8",3,"ECGI10_c907R1, ECGI10_c907R2, ECGI10_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.927869671,0.917810119,2.609902151,1.424150606,9.76417984,TRUE
SIDM01052,EFO-21,911905,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"39.7, 37.9, 38.7","84.5, 84.5, 84.5",3,"EFO21_c905R1, EFO21_c905R2, EFO21_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.892901172,0.872945155,2.459731281,1.214763867,4.477237881,TRUE
SIDM01051,EFO-27,906852,Ovary,Ovarian Carcinoma,MSI-H,Y,Y,Y,Y,Y,"44.3, 45.2, 46","93.5, 93.5, 93.5",3,"EFO27_c905R1, EFO27_c905R2, EFO27_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.92668981,0.913198645,3.065567966,1.488030896,8.964910576,TRUE
SIDM01050,EGI-1,906853,Biliary Tract,Biliary Tract Carcinoma,MSI-S,Y,Y,Y,Y,Y,"NA, NA, NA","96.6, 96.6, 96.6",3,"EGI1_c903R1, EGI1_c903R2, EGI1_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.910734463,0.732834263,2.841801084,1.414760993,8.741750079,TRUE
SIDM01044,EPLC-272H,753556,Lung,Other Lung Carcinomas,MSI-S,Y,Y,Y,Y,Y,"46.2, 47.7, 47","92.3, 92.3, 92.3",3,"EPLC27_c906R1, EPLC27_c906R2, EPLC27_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.907759097,0.899729029,3.295928466,1.558893327,7.422161718,TRUE
SIDM00861,ES-2,1240128,Ovary,Ovarian Carcinoma,MSI-S,Y,Y,Y,Y,Y,"24.8, 22.2, 24.7","94.2, 94.2, 94.2",3,"ES2_c905R1, ES2_c905R2, ES2_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.931511356,0.925035603,2.787973613,1.531886,12.81449909,TRUE
SIDM00264,ES4,949156,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,Y,Y,Y,"34.2, 35.3, 36.3","92.7, 92.7, 92.7",3,"ES4_c907R1, ES4_c907R2, ES4_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.896331087,0.873947746,2.790292795,1.468706979,5.903691244,TRUE
SIDM00263,ES5,684057,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,Y,Y,Y,"33.5, 34.3, 35.3","88, 88, 88",3,"ES5_c907R1, ES5_c907R2, ES5_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924715812,0.915694765,2.79644473,1.515980753,8.994146909,TRUE
SIDM00261,ES8,949155,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,Y,Y,Y,"32, 32.1, 26.8","77.2, 77.2, 77.2",3,"ES8_c903R1, ES8_c903R2, ES8_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.920653699,0.747111397,2.453399623,1.499163118,7.566786398,TRUE
SIDM00539,ESO26,1503366,Esophagus,Esophageal Adenocarcinoma,MSI-L,Y,Y,Y,Y,Y,"28.5, 29.8, 30.1","91.3, 91.3, 91.3",3,"ESO26_c907R1, ESO26_c907R2, ESO26_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.920431254,0.913775551,3.05838819,1.471756614,13.30408162,TRUE
SIDM00538,ESO51,1503367,Esophagus,Esophageal Adenocarcinoma,MSI-S,Y,Y,Y,Y,Y,"24, 23.9, 26","98.4, 98.4, 98.4",3,"ESO51_c907R1, ESO51_c907R2, ESO51_c907R3","V1.1, V1.1, V1.1","TRUE, FALSE, TRUE",TRUE,0.916006777,0.895036734,3.009625048,1.539234775,5.700836096,TRUE
SIDM01042,EVSA-T,906862,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"26.3, 28.6, 24.3","88.6, 88.6, 88.6",3,"EVSAT_c903R1, EVSAT_c903R2, EVSAT_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.932950366,0.758151243,2.681344891,1.560797276,9.473330988,TRUE
SIDM00205,EW-1,949163,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,Y,Y,Y,"27.1, 27.1, 26.3","96.3, 96.3, 96.3",3,"EW1_c907R1, EW1_c907R2, EW1_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.937134602,0.926634826,3.135767006,1.67839297,10.73750784,TRUE
SIDM00198,EW-16,949165,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,Y,Y,Y,"41.4, 38.6, 41.6","96.7, 96.7, 96.7",3,"EW16_c907R1, EW16_c907R2, EW16_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.919327026,0.915030855,2.779602484,1.559501166,9.797289233,TRUE
SIDM00196,EW-22,949167,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,Y,Y,Y,"22.6, 22.7, 21.7","95.6, 95.6, 95.6",3,"EW22_c907R1, EW22_c907R2, EW22_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.922586769,0.907094989,2.573357766,1.439462023,8.841267663,TRUE
SIDM00201,EW-7,949160,Bone,Ewing`s Sarcoma,MSI-S,Y,Y,Y,Y,Y,"30.1, 30.2, 29.8","90.1, 90.1, 90.1",3,"EW7_c907R1, EW7_c907R2, EW7_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.923656963,0.915242245,3.071916741,1.594411408,9.358681839,TRUE
SIDM00860,FADU,906863,Head and Neck,Head and Neck Carcinoma,MSI-S,Y,Y,Y,Y,Y,"20.6, 23, 21.4","96.9, 96.9, 96.9",3,"FADU_c908R1, FADU_c908R2, FADU_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.925646087,0.904301804,3.046212159,1.628680651,7.049095466,TRUE
SIDM01041,FLO-1,1503361,Esophagus,Esophageal Adenocarcinoma,MSI-S,Y,Y,Y,Y,Y,"19.7, 20.2, 25.8","90.3, 90.3, 90.3",3,"FLO1_c907R1, FLO1_c907R2, FLO1_c907R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.918710624,0.905368987,2.597441564,1.535763473,8.576318132,TRUE
SIDM00537,GP5d,907291,Large Intestine,Colorectal Carcinoma,MSI-H,Y,Y,Y,Y,Y,"19.2, 21.5, 20.9","83.5, 83.5, 83.5",3,"GP5d_c903R1, GP5d_c903R2, GP5d_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.932556023,0.751297517,2.803567951,1.467180492,9.838607207,TRUE
SIDM00598,HARA,1240142,Lung,Squamous Cell Lung Carcinoma,MSI-S,Y,Y,Y,Y,Y,"33.2, 36.9, 37.7","92.5, 92.5, 92.5",3,"HARA_c906R1, HARA_c906R2, HARA_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.92192877,0.913399622,2.775881787,1.416725666,11.75362763,TRUE
SIDM01072,HCC-15,1240143,Lung,Squamous Cell Lung Carcinoma,MSI-L,Y,Y,Y,Y,Y,"29.1, 29.1, 29.5","84.6, 84.6, 84.6",3,"HCC15_c906R1, HCC15_c906R2, HCC15_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.853697275,0.792942866,2.319479284,1.220134358,3.737162417,TRUE
SIDM00866,HCC1143,749710,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"26.3, 24.5, 34.9","96, 96, 96",3,"HCC114_c904R1, HCC114_c904R2, HCC114_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.89991279,0.714292619,2.683889825,1.277042965,6.052407789,TRUE
SIDM00885,HCC1187,749711,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"33.9, 35.7, 33.8","94.8, 94.8, 94.8",3,"HCC118_c903R1, HCC118_c903R2, HCC118_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.916221135,0.739720953,2.483778219,1.453119689,7.450150706,TRUE
SIDM00875,HCC1806,907047,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"34.7, 32.8, 35.1","99.1, 99.1, 99.1",3,"HCC180_c904R1, HCC180_c904R2, HCC180_c904R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.919061161,0.75115818,2.810351366,1.476867026,9.591785823,TRUE
SIDM00874,HCC1937,749714,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"39.9, 38.3, 40.1","90.2, 90.2, 90.2",3,"HCC193_c903R1, HCC193_c903R2, HCC193_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.926314792,0.745303594,2.210206795,1.317791045,7.181519347,TRUE
SIDM00872,HCC1954,749709,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"40.8, 35.4, 42.3","69, 69, 69",3,"HCC195_c903R1, HCC195_c903R2, HCC195_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.907268798,0.722050756,2.552613754,1.477365917,5.653486206,TRUE
SIDM00118,HCC2998,905971,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"19.3, 19.2, 22.5","92.2, 92.2, 92.2",3,"HCC299_c903R1, HCC299_c903R2, HCC299_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.913183938,0.732065163,2.555686451,1.42954834,7.076229458,TRUE
SIDM00675,HCC38,749717,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"46.5, 48.1, 47.3","88, 88, 88",3,"HCC38_c903R1, HCC38_c903R2, HCC38_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.91543245,0.737509793,2.316581308,1.354319234,8.168262847,TRUE
SIDM00052,HCE-4,753559,Esophagus,Esophageal Squamous Cell Carcinoma,MSI-S,Y,Y,Y,Y,Y,"28.9, 27.4, 31.3","90.4, 90.4, 90.4",3,"HCE4_c908R1, HCE4_c908R2, HCE4_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, FALSE",TRUE,0.908481383,0.867055644,2.499781559,1.524061334,4.693020256,TRUE
