,DRUG_DATASET,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_MEASUREMENTS,PVAL,SPEARMANR
115,GDSC1,1037,BX795,AURKB,511,0.002681106512214833,0.13254395936456773
116,GDSC1,238,Idelalisib,PIK3CD,499,0.003054652706025199,0.1323536711978173
117,GDSC1,163,JQ1,BRD2,481,0.003917321313694762,0.13130472476945504
118,GDSC1,223,ZSTK474,PIK3CA,498,0.0033824901573372298,0.13108804698194235
119,GDSC1,200,Dacinostat,HDAC1,476,0.004298144389270552,0.13065950113908523
120,GDSC1,328,SNX-2112,HSP90AB1,493,0.004279508208787541,0.12845593217657053
121,GDSC1,1048,Mirin,MRE11,457,0.006047789000452998,0.12823468736531304
122,GDSC2,1621,PCI-34051,HDAC1,411,0.010617042886375928,0.1259131865643651
123,GDSC1,1066,AZD6482,PIK3CB,493,0.005711020164664523,0.1243134103578268
124,GDSC1,301,PHA-793887,CDK5,498,0.005716644023795714,0.12367519456259979
125,GDSC2,2040,Foretinib,TEK,425,0.010773751627381471,0.12358037235622392
126,GDSC2,1873,Buparlisib,PIK3CA,426,0.010924942510398756,0.123201930968647
127,GDSC1,437,Trichostatin A,HDAC2,491,0.006302314973067916,0.12312090501095378
128,GDSC1,156,AZD6482,PIK3CB,479,0.007092653001776665,0.1228762851477538
129,GDSC1,1262,UNC1215,L3MBTL3,483,0.007722965411754969,0.12108127059006955
130,GDSC1,1192,GSK269962A,ROCK2,495,0.007264218393166346,0.12052311016657366
131,GDSC2,1557,LCL161,BIRC2,410,0.014734633709456393,0.12037479655934459
132,GDSC2,1005,Cisplatin,CYP2B6,431,0.01453513659918174,0.11764435211664478
133,GDSC1,432,Flavopiridol,CDK6,490,0.010262381561337706,0.1158640938164028
134,GDSC1,283,Omipalisib,PIK3CA,498,0.00981399537356573,0.11561854892058486
135,GDSC2,1626,OTX015,BRD2,411,0.019136309526693266,0.11552965944229635
136,GDSC1,286,KIN001-236,TEK,498,0.011049336416206569,0.11378685712556236
137,GDSC1,362,CI-1033,EGFR,496,0.011476081668877956,0.11342384709036232
138,GDSC1,346,THZ-2-102-1,CDK7,491,0.012144215032396483,0.1131059924839242
139,GDSC2,1079,Dasatinib,PDGFRB,429,0.019395574418228395,0.11284047402282568
140,GDSC1,276,CAY10603,HDAC1,492,0.012365043271934276,0.11270579328118874
141,GDSC1,155,Ponatinib,FGFR1,480,0.013673111213426103,0.11248095694859786
142,GDSC1,438,Panobinostat,HDAC1,490,0.012806569553723366,0.11237685883144634
143,GDSC1,228,AKT inhibitor VIII,AKT1,497,0.01258704103377287,0.11185721010868947
144,GDSC1,275,I-BET-762,BRD4,495,0.01310326214337296,0.11144462067400751
145,GDSC1,1069,EHT-1864,RAC2,507,0.012831741771592487,0.11044827765919069
146,GDSC2,1054,Palbociclib,CDK4,431,0.02252080378082606,0.10988057339160776
147,GDSC1,308,Foretinib,MST1R,496,0.014745853645187906,0.10944169415318891
148,GDSC2,1917,AZD6738,ATR,426,0.02391317371332563,0.10941847808160439
149,GDSC1,1259,Talazoparib,PARP1,487,0.01645295449828903,0.1086531544504413
150,GDSC1,1264,SGC0946,DOT1L,482,0.018045442123801363,0.10767469021122278
151,GDSC1,134,Etoposide,TOP2A,479,0.019208536951923053,0.10695639451087956
152,GDSC1,1052,RO-3306,CDK1,511,0.015716428442873496,0.10680830551398639
153,GDSC1,362,CI-1033,ERBB4,496,0.01810487608366527,0.10609079698130129
154,GDSC1,204,Tipifarnib,FNTA,477,0.020567904809062697,0.10601346404196792
155,GDSC2,1922,Cediranib,FLT4,426,0.03456831816515797,0.10242508086125238
156,GDSC1,1194,SB505124,TGFBR1,495,0.022922400724322268,0.10223176653567145
157,GDSC2,1613,VE-822,ATR,411,0.03867999459717821,0.10203041737029234
158,GDSC1,283,Omipalisib,PIK3CD,498,0.02284116360482969,0.1019838518276766
159,GDSC1,271,VNLG/124,HDAC1,494,0.02601864657816865,0.10015127749727942
160,GDSC2,2045,AMG-319,PIK3CD,425,0.0413443307380919,0.09900579950289977
161,GDSC1,147,NSC-87877,PTPN6,478,0.03054219601196526,0.09894888492935494
162,GDSC1,245,UNC0638,EHMT2,495,0.027771876580828005,0.09891226487151784
163,GDSC1,410,"MetAP2 Inhibitor, A832234",METAP2,489,0.029440972846414594,0.09848390930343778
164,GDSC1,223,ZSTK474,PIK3CD,498,0.02798325255938146,0.09848127080079531
165,GDSC1,272,AR-42,HDAC1,491,0.03069416588986176,0.09754120713408805
166,GDSC2,1922,Cediranib,FGFR1,426,0.04422206610226137,0.0975347941069755
167,GDSC2,1036,PLX-4720,BRAF,440,0.04168319236604199,0.09714099762911997
168,GDSC1,1012,Vorinostat,HDAC1,510,0.028444535458960692,0.09703260048266692
169,GDSC1,275,I-BET-762,BRD3,495,0.031051001777062076,0.0969405123688691
170,GDSC1,155,Ponatinib,TEK,480,0.034701360821133835,0.09641795320292187
171,GDSC1,437,Trichostatin A,HDAC1,491,0.03337226227144536,0.09603890436011471
172,GDSC2,1918,AZD8186,PIK3CB,426,0.0488948205623166,0.09548539064667658
173,GDSC1,269,NSC-207895,MDM4,495,0.0350490845099297,0.09476444608023556
174,GDSC1,1091,BMS-536924,INSR,493,0.03599736305798243,0.09447070881348457
175,GDSC1,271,VNLG/124,RARA,494,0.037875468922412205,0.09344489893224814
176,GDSC2,1593,Entinostat,HDAC1,413,0.05804360177104475,0.0933441810090042
177,GDSC2,1629,ML323,WDR48,411,0.06180268948853489,0.09221174969881653
178,GDSC1,1175,Rucaparib,PARP1,507,0.038397011903466054,0.09199018662321536
179,GDSC1,265,Tubastatin A,HDAC1,496,0.04062568194570749,0.09196498639933443
180,GDSC2,1849,Sabutoclax,BCL2A1,410,0.06598230754474113,0.090888687981342
181,GDSC1,1061,SB590885,BRAF,491,0.04477965243286892,0.09060652724653519
182,GDSC1,1241,CHIR-99021,GSK3B,484,0.046873220944326284,0.09038709141394444
183,GDSC1,165,DMOG,EGLN2,478,0.04873615626279277,0.0901988679673796
184,GDSC1,236,IC-87114,PIK3CD,495,0.04610100131927612,0.08969065739014806
185,GDSC1,1012,Vorinostat,HDAC2,510,0.04302779503425885,0.08963894517087725
186,GDSC2,1012,Vorinostat,HDAC5,428,0.06884254881615268,0.08803315575186267
187,GDSC1,374,GSK1059615,PIK3CD,491,0.05219863982497869,0.08767298683419521
188,GDSC2,1810,Mitoxantrone,TOP2A,411,0.07796514706452931,0.087043493140622
189,GDSC1,271,VNLG/124,HDAC3,494,0.054109321205840825,0.08670945438320264
190,GDSC1,1015,CI-1040,MAP2K2,502,0.053616349585474656,0.08619120498992353
191,GDSC2,1617,AZD5582,BIRC2,406,0.08349411832151347,0.08600225841605152
192,GDSC2,1068,Obatoclax Mesylate,BCL2,410,0.08204581932099253,0.08598339044979156
193,GDSC1,230,GSK429286A,ROCK1,498,0.05768136804436385,0.08511590585597756
194,GDSC2,2040,Foretinib,FGFR1,425,0.08055130342422648,0.08486298478998297
195,GDSC2,1852,LY2109761,TGFB1,411,0.08856186882199069,0.08411168591878676
196,GDSC2,1250,AZ960,JAK2,410,0.08984770958603205,0.08387783679739248
197,GDSC1,274,Belinostat,HDAC1,481,0.06654221171034477,0.08372846593800949
198,GDSC2,1249,BMS-345541,CHUK,410,0.09256104207839366,0.08317999018870849
199,GDSC2,1057,Dactolisib,MTOR,426,0.08716483933014961,0.08297709109041909
200,GDSC1,255,CP724714,ERBB2,498,0.06878402281809845,0.0816177942658972
201,GDSC1,1005,Cisplatin,BCHE,510,0.06650618484271231,0.08131994084605343
202,GDSC1,1012,Vorinostat,HDAC9,510,0.06905408539829859,0.08057208081176331
203,GDSC1,1129,PF-4708671,RPS6KB1,503,0.07181655823367282,0.08034057087940957
204,GDSC1,1263,UNC0642,EHMT1,471,0.08180836156538003,0.08027211900009419
205,GDSC1,1219,PFI-1,BRD4,499,0.07352425223884398,0.0801838858439771
206,GDSC1,439,LCL161,BIRC2,492,0.07567522373290445,0.08015903539725548
207,GDSC1,363,PF-00299804,EGFR,495,0.07582186683000347,0.07987541603840416
208,GDSC1,194,Luminespib,HSP90AB1,471,0.0841183277572623,0.07967376499043323
209,GDSC1,185,Linsitinib,INSR,474,0.08553667690066555,0.079060978375234
210,GDSC2,1179,MK-1775,WEE1,431,0.10139953296365381,0.07901086350473929
211,GDSC1,382,Apitolisib,PIK3CD,491,0.08126742945570661,0.0787560864095278
212,GDSC2,1080,Paclitaxel,TUBB1,427,0.10639330277371775,0.07824640504278929
213,GDSC1,153,Midostaurin,FGR,481,0.08712974108164119,0.07808690832549753
214,GDSC2,1630,Entospletinib,SYK,411,0.11481643299381794,0.07790220741127402
215,GDSC2,1593,Entinostat,HDAC3,413,0.11521566966154682,0.07762765693953137
216,GDSC1,1057,Dactolisib,PIK3CD,504,0.08259134756634956,0.07739681664843566
217,GDSC1,249,Cabozantinib,TEK,497,0.08584040445186307,0.07713146347967323
218,GDSC1,342,Tenovin-6,SIRT1,498,0.08564397920924359,0.07710201134858018
219,GDSC1,317,WYE-125132,MTOR,495,0.08706718835465092,0.07698758513699092
220,GDSC1,1012,Vorinostat,HDAC5,510,0.08267049729953983,0.07691953493726258
221,GDSC2,1180,Dinaciclib,CDK5,411,0.12007791078189495,0.07679582266731887
222,GDSC1,184,BMS-754807,INSR,470,0.09770808497253862,0.07648045178633195
223,GDSC1,1039,SL0101,RPS6KA2,502,0.08956012746947656,0.07585296722183775
224,GDSC1,1019,Bosutinib,TEC,510,0.08734704942366033,0.07577770726666747
225,GDSC1,380,BIBF-1120,PDGFRB,497,0.09196957428852148,0.07566913333870304
226,GDSC1,273,CUDC-101,ERBB2,486,0.09915937544542175,0.07488534139112402
227,GDSC2,1259,Talazoparib,PARP1,423,0.12493981507627396,0.07472017747302612
228,GDSC1,219,AT-7519,CDK6,488,0.10124171103337692,0.07427583633280543
229,GDSC1,1030,KU-55933,ATM,510,0.09413826959398461,0.07420409830374544
230,GDSC2,1930,Telomerase Inhibitor IX,TERT,426,0.1269777324714271,0.0740572266773253
231,GDSC1,376,"Brivanib, BMS-540215",PDGFRB,497,0.09953137433133913,0.07396888130180226
232,GDSC2,1239,YK-4-279,DHX9,426,0.12934186832493177,0.07360102757334751
233,GDSC1,193,GW-2580,CSF1R,498,0.1037847792429414,0.0729837168215367
234,GDSC1,1021,Axitinib,PDGFRB,505,0.10246817492801476,0.07275168510639886
235,GDSC1,1039,SL0101,AURKB,502,0.10524551529547978,0.0723869678842279
236,GDSC1,1268,XAV939,TNKS2,489,0.11264586437707308,0.07183117237642318
237,GDSC2,1372,Trametinib,MAP2K2,432,0.1370004648732824,0.07166155535193651
238,GDSC1,298,OSI-930,MEN1,497,0.1118017769019726,0.07141654825963163
239,GDSC2,2040,Foretinib,PDGFRB,425,0.14166065503903805,0.07140704381672945
240,GDSC1,363,PF-00299804,ERBB4,495,0.12119593058746944,0.06974861584369225
241,GDSC1,1014,Refametinib,MAP2K2,500,0.1215067787387684,0.06934030936123745
242,GDSC1,546,FTY-720,S1PR1,493,0.12493503982122084,0.069198012552901
243,GDSC1,308,Foretinib,MET,496,0.12453684544567496,0.06906060016010038
244,GDSC1,1042,Doramapimod,MAPK9,501,0.12309621454459418,0.06897755087434693
245,GDSC2,1625,RVX-208,BRD4,411,0.1676815673594342,0.0681836173474767
246,GDSC1,219,AT-7519,CDK9,488,0.1368582340224074,0.06743644110237389
247,GDSC1,381,AST-1306,ERBB4,490,0.13711764939860116,0.06725394142263257
248,GDSC1,1021,Axitinib,FLT1,505,0.13301194404345015,0.06694368194583435
249,GDSC1,271,VNLG/124,HDAC2,494,0.13885879612082014,0.06668557946448413
250,GDSC1,1028,VX-702,MAPK14,508,0.1371298031309595,0.06604631518745607
251,GDSC1,1218,JQ1,BRD3,484,0.14793782359270002,0.06586496914519406
252,GDSC1,301,PHA-793887,CDK7,498,0.14539113549547444,0.06533961962858106
253,GDSC2,1249,BMS-345541,IKBKB,410,0.1920125899178126,0.0645618675057773
254,GDSC1,273,CUDC-101,HDAC1,486,0.1561320162181586,0.06442997115534636
255,GDSC2,1933,P22077,USP7,426,0.1845104808193255,0.0644155773600135
256,GDSC2,1618,GSK2606414,EIF2AK3,408,0.19524550644350144,0.0642536355897495
257,GDSC2,1926,GNE-317,PIK3CA,413,0.19946538362501898,0.0632645371289296
258,GDSC2,1624,I-BET-762,BRD4,411,0.20528138981148605,0.06260848222542179
259,GDSC1,1005,Cisplatin,CYP2B6,510,0.16005324017120592,0.0623021143759062
260,GDSC1,366,TWS119,GSK3B,498,0.16696892730844745,0.062025532240695305
261,GDSC1,1029,Motesanib,PDGFRB,507,0.16958205057625164,0.06109521321645726
262,GDSC1,375,Voxtalisib,PIK3CD,498,0.173739863666613,0.06105236095812872
263,GDSC1,1239,YK-4-279,DHX9,416,0.2167529194949633,0.060687853794814006
264,GDSC2,1268,XAV939,TNKS2,410,0.22127792689151907,0.06053584277209467
265,GDSC1,374,GSK1059615,PIK3CA,491,0.18430706712636682,0.06001313843305938
266,GDSC1,182,Obatoclax Mesylate,BCL2,473,0.19414791511500012,0.05980555670212049
267,GDSC1,1036,PLX-4720,BRAF,511,0.1811592094205518,0.05924711494186714
268,GDSC1,154,CHIR-99021,GSK3B,478,0.20284836378596582,0.058350678498241916
269,GDSC1,382,Apitolisib,PIK3CA,491,0.19775570985603683,0.05822444620389509
270,GDSC2,1510,Linsitinib,INSR,441,0.2247844880915013,0.05792079069389994
271,GDSC1,1218,JQ1,BRD2,484,0.203868246532353,0.057856108277851474
272,GDSC1,273,CUDC-101,HDAC10,486,0.20330709565346722,0.05780811471166191
273,GDSC1,155,Ponatinib,KDR,480,0.2065012044398663,0.05776142691591542
274,GDSC1,221,TAK-715,MAPK14,499,0.19929436087056926,0.05755694521573266
275,GDSC1,1192,GSK269962A,ROCK1,495,0.2016405288516683,0.05748987854251013
276,GDSC1,253,XMD14-99,CDK7,498,0.20463730544615305,0.056937564251190315
277,GDSC1,271,VNLG/124,HDAC9,494,0.20795418002901436,0.056752677591793636
278,GDSC1,1017,Olaparib,PARP2,510,0.2008688711355333,0.05673219902919319
279,GDSC2,1809,Teniposide,TOP2A,411,0.2532396449691727,0.05648317952954881
280,GDSC2,2040,Foretinib,MET,425,0.24586088985497553,0.056411967922965094
281,GDSC1,306,Fedratinib,JAK2,498,0.21125114017275637,0.056116645304863925
282,GDSC1,1268,XAV939,TNKS,489,0.21583047900188831,0.05606980195276342
283,GDSC1,249,Cabozantinib,MET,497,0.21779782914551735,0.05537793414196801
284,GDSC2,1631,PRT062607,SYK,411,0.2642132348387248,0.05519841811698536
285,GDSC2,2046,MK-8776,CHEK1,424,0.2614211800327216,0.05466014908572823
286,GDSC1,1009,Tretinoin,RARA,506,0.2249956637585666,0.054034253438207225
287,GDSC1,329,QL-XI-92,DDR1,498,0.23187994751249266,0.05366924000967925
288,GDSC1,438,Panobinostat,HDAC10,490,0.2372904836603775,0.05348604924958252
289,GDSC1,1017,Olaparib,PARP1,510,0.2294215861595106,0.053311781961755296
290,GDSC1,1012,Vorinostat,HDAC3,510,0.22995147213867592,0.05325126201946182
291,GDSC1,182,Obatoclax Mesylate,MCL1,473,0.24961422596882105,0.05303929915501442
292,GDSC1,273,CUDC-101,HDAC3,486,0.24393923274087714,0.052953682600090576
293,GDSC2,1177,Niraparib,PARP1,410,0.29054507587848727,0.05232186781918146
294,GDSC1,1050,ZM447439,AURKB,511,0.24567562903270115,0.05144792506043512
295,GDSC1,275,I-BET-762,BRD2,495,0.2557985660684739,0.05117227975125456
296,GDSC1,287,KIN001-244,PDPK1,498,0.2551344472660181,0.05108857872562122
297,GDSC2,1085,Sorafenib,PDGFRB,427,0.29576732295081537,0.05071396665576421
298,GDSC2,1084,Rapamycin,MTOR,422,0.3037585145859546,0.05017935483675234
299,GDSC1,1011,Navitoclax,BCL2L2,509,0.26124230304585316,0.04988811854429442
300,GDSC1,1266,ICL1100013,NMT2,488,0.2789248680295718,0.04910959615599472
301,GDSC1,271,VNLG/124,HDAC10,494,0.27759387638924415,0.04894447924233341
302,GDSC1,182,Obatoclax Mesylate,BCL2L2,473,0.28841328832923563,0.04891302622226718
303,GDSC2,1936,Savolitinib,MET,426,0.31823290646237035,0.04847189210479851
304,GDSC1,157,JNK-9L,MAPK10,480,0.2908235935475168,0.048311841631257076
305,GDSC1,302,PI-103,PIM3,491,0.2882789412414232,0.04801783015128459
306,GDSC1,1043,JNK Inhibitor VIII,MAPK8,509,0.2855705000971254,0.04742331519047411
307,GDSC1,1039,SL0101,PIM3,502,0.2897014544864889,0.047347045906444576
308,GDSC2,1620,PFI3,SMARCA4,411,0.33886534449698313,0.04729384272086644
309,GDSC1,382,Apitolisib,MTOR,491,0.2958344600257756,0.04727271068379664
310,GDSC2,2170,AT13148,AKT1,421,0.33334639134200816,0.04726213660932396
311,GDSC1,249,Cabozantinib,AXL,497,0.29353792484744884,0.04720911946611656
312,GDSC1,199,Pazopanib,PDGFRA,473,0.3057880118359487,0.04718679084645067
313,GDSC1,406,LIMK1 inhibitor BMS4,LIMK1,498,0.29387023275979013,0.04712909370655204
314,GDSC1,223,ZSTK474,PIK3CG,498,0.29419417735935566,0.04709751616393681
315,GDSC1,158,PF-562271,PTK2,469,0.32218018956964506,0.04581162459854109
316,GDSC1,163,JQ1,BRD4,481,0.32380624016463033,0.04508253465722346
